Group,Infocap_all
1,0.0392178011569143
1,0.0405021687208906
1,0.0395889985750216
1,0.0392441464912406
1,0.0405758962773189
1,0.0399871884958021
1,0.0398126705269387
1,0.0402768255216611
1,0.0404023820723806
1,0.0396720692098592
1,0.0386486882862512
1,0.0408012420642699
1,0.0401261133862559
1,0.0395826375533462
1,0.0401993946652856
1,0.0398122205780542
1,0.0403121280206917
1,0.0395929752230049
1,0.0394545402109468
1,0.0393578328370174
1,0.0399295314616205
1,0.0402337189742838
1,0.0398613182136839
1,0.0405918068320465
1,0.0413343483475630
1,0.0399472113352917
1,0.0399436213869722
1,0.0399313518550496
1,0.0399644976731289
1,0.0398659912888408
1,0.0401811309721041
1,0.0410157402672158
1,0.0404833046235390
1,0.0396917757633945
1,0.0401341614566342
1,0.0395582227930642
1,0.0412736936760232
1,0.0406552055073883
1,0.0407182960913945
1,0.0395036664093631
1,0.0394650750227780
1,0.0410923886206136
1,0.0394665823515569
1,0.0412147935997125
1,0.0410481239629583
1,0.0396761544762503
1,0.0402457691402215
1,0.0399135835958794
1,0.0393170241454456
1,0.0396321585277840
1,0.0402988789141785
1,0.0398658492218654
1,0.0397919274779532
1,0.0395851992213687
1,0.0403390570837365
1,0.0393277797698507
1,0.0415178380888430
1,0.0398880826645853
1,0.0397401108603552
1,0.0405947610870785
1,0.0397259522566321
1,0.0396550783050623
1,0.0401664354060638
1,0.0402741509373305
1,0.0405501189520806
1,0.0399240229516130
1,0.0398299566754668
1,0.0400991052559077
1,0.0390422749978493
1,0.0402624896226651
1,0.0399859053320096
1,0.0392659987266188
1,0.0411861536432978
1,0.0408904331837792
1,0.0409378631514681
1,0.0396913140499078
1,0.0396999110088736
1,0.0400216326167489
1,0.0394655417671700
1,0.0402296357309353
1,0.0399792032361757
1,0.0396936960711491
1,0.0389871234357571
1,0.0403163584010513
1,0.0405200975325817
1,0.0398980731085631
1,0.0404586684728116
1,0.0412070389345903
1,0.0399049814649284
1,0.0409520148547190
1,0.0402739179362986
1,0.0406407447596059
1,0.0403028971323803
1,0.0400554837595082
1,0.0406161342673464
1,0.0389364930191376
1,0.0406842188894698
1,0.0402785174384386
1,0.0406606645249107
1,0.0400965520927197
2,0.0386123753977844
2,0.0401807714427674
2,0.0396266305933588
2,0.0390314560835288
2,0.0397816141064512
2,0.0397065093430043
2,0.0393523641494425
2,0.0403093350621709
2,0.0399161078465769
2,0.0392177917348133
2,0.0384462205449233
2,0.0401751847943369
2,0.0400584513982287
2,0.0391719124510114
2,0.0395015785415048
2,0.0395426950622562
2,0.0396058097061966
2,0.0392830579244654
2,0.0391132256735571
2,0.0393165158186193
2,0.0396776546541054
2,0.0397070978741330
2,0.0390143501305640
2,0.0403033748933071
2,0.0406533591414448
2,0.0399695850523028
2,0.0396058861523362
2,0.0399084434000862
2,0.0397113299266221
2,0.0397024446590762
2,0.0397585892639584
2,0.0405860433181401
2,0.0403326677239845
2,0.0391028602700632
2,0.0398787052411439
2,0.0392397806332783
2,0.0408343209000939
2,0.0404005084509062
2,0.0401776342107703
2,0.0387870345185493
2,0.0389347785414611
2,0.0407546653154476
2,0.0388366867435934
2,0.0404819516542794
2,0.0405293019599097
2,0.0389354616058307
2,0.0398433630911169
2,0.0395212137449776
2,0.0392675937256886
2,0.0390845508134691
2,0.0402442092600468
2,0.0393117196985027
2,0.0392662480159873
2,0.0393100404127032
2,0.0401217185067394
2,0.0391309242553951
2,0.0405530234655576
2,0.0391833203772128
2,0.0393821077829552
2,0.0400274076582820
2,0.0392291498332839
2,0.0393635194825811
2,0.0394512713270541
2,0.0399854744633628
2,0.0402842010270222
2,0.0394352864166273
2,0.0394194622731553
2,0.0397576460070806
2,0.0385797662931845
2,0.0396058420870889
2,0.0395825511902596
2,0.0387278376259890
2,0.0405710018929849
