Group,Suscep_all
1,0.0154630060153495
1,0.0186261428444383
1,0.0168927398227812
1,0.0177012475237011
1,0.0176296784268011
1,0.0186480163341021
1,0.0188884406790305
1,0.0168046681924074
1,0.0207083240484925
1,0.0190348815151252
1,0.0161185720004435
1,0.0191900848222196
1,0.0200691233359991
1,0.0178008428398724
1,0.0171191137820538
1,0.0171509099915837
1,0.0183542308634004
1,0.0201040720583455
1,0.0175878652364525
1,0.0182972067231247
1,0.0189326164420705
1,0.0205378843454050
1,0.0182871166496553
1,0.0196367513535096
1,0.0203067913282989
1,0.0179330965819610
1,0.0191027558646309
1,0.0183394768035526
1,0.0177565751651545
1,0.0176754015506006
1,0.0200343804943708
1,0.0199371188672539
1,0.0176432848721172
1,0.0179564003782706
1,0.0171907717269568
1,0.0183278218310303
1,0.0190137094328282
1,0.0162623985071028
1,0.0181214036741953
1,0.0160410488981849
1,0.0142044111665938
1,0.0192754133524851
1,0.0181307015213907
1,0.0179438301449238
1,0.0206131231594447
1,0.0165689779516143
1,0.0196849800055480
1,0.0176780538093325
1,0.0171702398692696
1,0.0155779997041293
1,0.0181392740263555
1,0.0183819718782110
1,0.0162695416326511
1,0.0171026012723626
1,0.0198911086288430
1,0.0161127520735033
1,0.0199133909391103
1,0.0196260455006810
1,0.0185241956867328
1,0.0174519930517672
1,0.0172528202694577
1,0.0190473700581020
1,0.0185563325048321
1,0.0169258229011954
1,0.0207277304134647
1,0.0177915034295653
1,0.0185773813542019
1,0.0179543044233829
1,0.0167959704884906
1,0.0165065659608394
1,0.0177471474436155
1,0.0160506890119190
1,0.0180497203341161
1,0.0193021591981656
1,0.0178814300831307
1,0.0179156465302514
1,0.0166376063899024
1,0.0178475222413794
1,0.0192529042046814
1,0.0174433597698045
1,0.0188088167314539
1,0.0186716568215526
1,0.0162870820352551
1,0.0194017275000785
1,0.0174644514974293
1,0.0172239227362638
1,0.0175378904187736
1,0.0197873939192555
1,0.0172652564436742
1,0.0169787413814008
1,0.0181346815229525
1,0.0196184107782720
1,0.0170973860139861
1,0.0165850490375106
1,0.0191829552418097
1,0.0174975621230224
1,0.0186324764651825
1,0.0213578950040420
1,0.0186568628240626
1,0.0173149528133565
2,0.0147614758813810
2,0.0173011279417296
2,0.0171778720958727
2,0.0174353446192394
2,0.0165019508710534
2,0.0177240930430529
2,0.0182468710814220
2,0.0165511887049859
2,0.0198580072628080
2,0.0182743758580582
2,0.0158359137939984
2,0.0177424348776653
2,0.0196765645230730
2,0.0178052725110992
2,0.0167771647376502
2,0.0164270496593671
2,0.0169164660163994
2,0.0191632560741482
2,0.0171067274871217
2,0.0174507038914699
2,0.0182374207389761
2,0.0193196036246605
2,0.0175251976115428
2,0.0195203281259096
2,0.0192158971700710
2,0.0175696781730812
2,0.0184100802555380
2,0.0179288464727232
2,0.0175549373130913
2,0.0177195262897053
2,0.0196748228294519
2,0.0194738188144067
2,0.0174600563937185
2,0.0169116970044892
2,0.0166542837365425
2,0.0170066386920721
